Age,Gender,Education Level,Job Title,Years of Experience,Salary
25,Female,Bachelor's,Data Analyst,2,110000
30,Female,PhD,Data Scientist,7,185000
31,Male,Bachelor's,Data Analyst,9,195000
28,Female,Bachelor's,Software Engineer,5,160000
26,Male,Bachelor's,Data Analyst,3,130000
29,Female,Master's,Data Scientist,6,180000
32,Male,Bachelor's,Software Engineer,8,190000
33,Female,Master's,Product Manager,11,198000
24,Male,Bachelor's,Data Analyst,1,90000
27,Male,Bachelor's,Software Engineer,4,140000
25,Female,Bachelor's,Data Analyst,2,110000
30,Female,PhD,Data Scientist,7,185000
31,Male,Bachelor's,Data Analyst,9,195000
28,Female,Bachelor's,Software Engineer,5,160000
26,Male,Bachelor's,Data Analyst,3,130000
29,Female,Master's,Data Scientist,6,180000
32,Male,Bachelor's,Software Engineer,8,190000
33,Female,Master's,Product Manager,11,198000
24,Male,Bachelor's,Data Analyst,1,90000
27,Male,Bachelor's,Software Engineer,4,140000
25,Male,Bachelor's,Data Analyst,2,125000
28,Female,Master's,Data Scientist,6,175000
30,Male,Bachelor's,Software Engineer,8,190000
27,Female,Bachelor's,Product Manager,4,150000
24,Male,Bachelor's,Data Analyst,1,95000
31,Male,Master's,Data Scientist,9,195000
28,Male,Bachelor's,Software Engineer,5,160000
33,Female,Master's,Product Manager,11,198000
26,Male,Bachelor's,Data Analyst,3,130000
30,Female,PhD,Data Scientist,7,185000
27,Male,Bachelor's,Software Engineer,4,140000
34,Female,Master's,Product Manager,12,196000
23,Male,Bachelor's,Data Analyst,1,90000
32,Female,PhD,Data Scientist,10,193000
29,Male,Bachelor's,Software Engineer,6,170000
30,Female,Bachelor's,Product Manager,5,160000
26,Male,Bachelor's,Data Analyst,3,135000
31,Female,Master's,Data Scientist,6,180000
28,Male,Bachelor's,Software Engineer,5,160000
33,Female,Master's,Product Manager,11,198000
24,Male,Bachelor's,Data Analyst,1,90000
30,Female,PhD,Data Scientist,7,185000
27,Male,Bachelor's,Software Engineer,4,140000
34,Female,Master's,Product Manager,12,196000
25,Male,Bachelor's,Data Analyst,2,115000
29,Female,Master's,Data Scientist,6,180000
32,Male,Bachelor's,Software Engineer,8,190000
27,Female,Bachelor's,Product Manager,4,150000
31,Male,Bachelor's,Data Analyst,9,195000
28,Female,Bachelor's,Software Engineer,5,160000
33,Male,Master's,Product Manager,11,198000
26,Female,Bachelor's,Data Analyst,3,130000
30,Male,PhD,Data Scientist,7,185000
27,Female,Bachelor's,Software Engineer,4,140000
34,Male,Master's,Product Manager,12,196000
25,Female,Bachelor's,Data Analyst,2,110000
32,Male,Bachelor's,Software Engineer,8,190000
29,Female,Master's,Data Scientist,6,180000
30,Male,Bachelor's,Data Analyst,5,160000
33,Female,Master's,Product Manager,11,198000
24,Male,Bachelor's,Data Analyst,1,90000
31,Female,PhD,Data Scientist,9,195000
28,Male,Bachelor's,Software Engineer,5,160000
27,Female,Bachelor's,Product Manager,4,150000
26,Male,Bachelor's,Data Analyst,3,130000
29,Female,Master's,Data Scientist,6,180000
32,Male,Bachelor's,Software Engineer,8,190000
33,Female,Master's,Product Manager,11,198000
25,Male,Bachelor's,Data Analyst,2,110000
30,Female,PhD,Data Scientist,7,185000
27,Male,Bachelor's,Software Engineer,4,140000
34,Female,Master's,Product Manager,12,196000
31,Male,Bachelor's,Data Analyst,9,195000
28,Female,Bachelor's,Software Engineer,5,160000
26,Male,Bachelor's,Data Analyst,3,130000
29,Female,Master's,Data Scientist,6,180000
32,Male,Bachelor's,Software Engineer,8,190000
33,Female,Master's,Product Manager,11,198000
24,Male,Bachelor's,Data Analyst,1,90000
27,Male,Bachelor's,Software Engineer,4,140000
25,Female,Bachelor's,Data Analyst,2,110000
30,Female,PhD,Data Scientist,7,185000
31,Male,Bachelor's,Data Analyst,9,195000
28,Female,Bachelor's,Software Engineer,5,160000
26,Male,Bachelor's,Data Analyst,3,130000
29,Female,Master's,Data Scientist,6,180000
32,Male,Bachelor's,Software Engineer,8,190000
33,Female,Master's,Product Manager,11,198000
24,Male,Bachelor's,Data Analyst,1,90000
27,Male,Bachelor's,Software Engineer,4,140000
25,Female,Bachelor's,Data Analyst,2,110000
30,Female,PhD,Data Scientist,7,185000
31,Male,Bachelor's,Data Analyst,9,195000
28,Female,Bachelor's,Software Engineer,5,160000
26,Male,Bachelor's,Data Analyst,3,130000
29,Female,Master's,Data Scientist,6,180000
32,Male,Bachelor's,Software Engineer,8,190000
33,Female,Master's,Product Manager,11,198000
24,Male,Bachelor's,Data Analyst,1,90000
27,Male,Bachelor's,Software Engineer,4,140000
23,Male,Bachelor's,Data Analyst,1,90000
27,Female,Master's,Data Scientist,4,150000
32,Male,Bachelor's,Software Engineer,8,190000
24,Female,Bachelor's,Product Manager,3,125000
25,Male,Bachelor's,Data Analyst,2,110000
31,Male,Master's,Data Scientist,7,180000
28,Male,Bachelor's,Software Engineer,5,160000
33,Female,Master's,Product Manager,10,195000
26,Male,Bachelor's,Data Analyst,3,130000
30,Female,PhD,Data Scientist,6,170000
27,Male,Bachelor's,Software Engineer,4,140000
34,Female,Master's,Product Manager,11,196000
23,Male,Bachelor's,Data Analyst,1,92000
32,Female,PhD,Data Scientist,9,195000
29,Male,Bachelor's,Software Engineer,6,170000
30,Female,Bachelor's,Product Manager,5,160000
26,Male,Bachelor's,Data Analyst,3,135000
31,Female,Master's,Data Scientist,6,180000
28,Male,Bachelor's,Software Engineer,5,165000
33,Female,Master's,Product Manager,11,198000
24,Male,Bachelor's,Data Analyst,1,95000
30,Female,PhD,Data Scientist,7,185000
27,Male,Bachelor's,Software Engineer,4,140000
34,Female,Master's,Product Manager,12,196000
25,Male,Bachelor's,Data Analyst,2,115000
29,Female,Master's,Data Scientist,6,180000
32,Male,Bachelor's,Software Engineer,8,190000
27,Female,Bachelor's,Product Manager,4,150000
31,Male,Bachelor's,Data Analyst,9,195000
28,Female,Bachelor's,Software Engineer,5,160000
33,Male,Master's,Product Manager,11,198000
26,Female,Bachelor's,Data Analyst,3,130000
30,Male,PhD,Data Scientist,7,185000
27,Female,Bachelor's,Software Engineer,4,140000
34,Male,Master's,Product Manager,12,196000
25,Female,Bachelor's,Data Analyst,2,110000
32,Male,Bachelor's,Software Engineer,8,190000
29,Female,Master's,Data Scientist,6,180000
30,Male,Bachelor's,Data Analyst,5,160000
33,Female,Master's,Product Manager,11,198000
24,Male,Bachelor's,Data Analyst,1,90000
31,Female,PhD,Data Scientist,9,195000
28,Male,Bachelor's,Software Engineer,5,160000
27,Female,Bachelor's,Product Manager,4,150000
26,Male,Bachelor's,Data Analyst,3,130000
29,Female,Master's,Data Scientist,6,180000
32,Male,Bachelor's,Software Engineer,8,190000
33,Female,Master's,Product Manager,11,198000
25,Male,Bachelor's,Data Analyst,2,110000
30,Female,PhD,Data Scientist,7,185000
27,Male,Bachelor's,Software Engineer,4,140000
34,Female,Master's,Product Manager,12,196000
31,Male,Bachelor's,Data Analyst,9,195000
28,Female,Bachelor's,Software Engineer,5,160000
26,Male,Bachelor's,Data Analyst,3,130000
29,Female,Master's,Data Scientist,6,180000
32,Male,Bachelor's,Software Engineer,8,190000
33,Female,Master's,Product Manager,11,198000
24,Male,Bachelor's,Data Analyst,1,90000
27,Male,Bachelor's,Software Engineer,4,140000
25,Female,Bachelor's,Data Analyst,2,110000
30,Female,PhD,Data Scientist,7,185000
31,Male,Bachelor's,Data Analyst,9,195000
28,Female,Bachelor's,Software Engineer,5,160000
26,Male,Bachelor's,Data Analyst,3,130000
29,Female,Master's,Data Scientist,6,180000
32,Male,Bachelor's,Software Engineer,8,190000
33,Female,Master's,Product Manager,11,198000
24,Male,Bachelor's,Data Analyst,1,90000
27,Male,Bachelor's,Software Engineer,4,140000
25,Female,Bachelor's,Data Analyst,2,110000
30,Female,PhD,Data Scientist,7,185000
31,Male,Bachelor's,Data Analyst,9,195000
28,Female,Bachelor's,Software Engineer,5,160000
26,Male,Bachelor's,Data Analyst,3,130000
29,Female,Master's,Data Scientist,6,180000
32,Male,Bachelor's,Software Engineer,8,190000
33,Female,Master's,Product Manager,11,198000
24,Male,Bachelor's,Data Analyst,1,90000
27,Male,Bachelor's,Software Engineer,4,140000
25,Female,Bachelor's,Data Analyst,2,110000
30,Female,PhD,Data Scientist,7,185000
31,Male,Bachelor's,Data Analyst,9,195000
28,Female,Bachelor's,Software Engineer,5,160000
26,Male,Bachelor's,Data Analyst,3,130000
29,Female,Master's,Data Scientist,6,180000
32,Male,Bachelor's,Software Engineer,8,190000
33,Female,Master's,Product Manager,11,198000
24,Male,Bachelor's,Data Analyst,1,90000
27,Male,Bachelor's,Software Engineer,4,140000
25,Female,Bachelor's,Data Analyst,2,110000
30,Female,PhD,Data Scientist,7,185000
31,Male,Bachelor's,Data Analyst,9,195000
28,Female,Bachelor's,Software Engineer,5,160000
26,Male,Bachelor's,Data Analyst,3,130000
29,Female,Master's,Data Scientist,6,180000
32,Male,Bachelor's,Software Engineer,8,190000
33,Female,Master's,Product Manager,11,198000
24,Male,Bachelor's,Data Analyst,1,90000
27,Male,Bachelor's,Software Engineer,4,140000
25,Female,Bachelor's,Data Analyst,2,110000
30,Female,PhD,Data Scientist,7,185000
31,Male,Bachelor's,Data Analyst,9,195000
28,Female,Bachelor's,Software Engineer,5,160000
26,Male,Bachelor's,Data Analyst,3,130000
29,Female,Master's,Data Scientist,6,180000
32,Male,Bachelor's,Software Engineer,8,190000
33,Female,Master's,Product Manager,11,198000
24,Male,Bachelor's,Data Analyst,1,90000
27,Male,Bachelor's,Software Engineer,4,140000
25,Female,Bachelor's,Data Analyst,2,110000
30,Female,PhD,Data Scientist,7,185000
31,Male,Bachelor's,Data Analyst,9,195000
28,Female,Bachelor's,Software Engineer,5,160000
26,Male,Bachelor's,Data Analyst,3,130000
29,Female,Master's,Data Scientist,6,180000
32,Male,Bachelor's,Software Engineer,8,190000
33,Female,Master's,Product Manager,11,198000
24,Male,Bachelor's,Data Analyst,1,90000
27,Male,Bachelor's,Software Engineer,4,140000
25,Female,Bachelor's,Data Analyst,2,110000
30,Female,PhD,Data Scientist,7,185000
31,Male,Bachelor's,Data Analyst,9,195000
28,Female,Bachelor's,Software Engineer,5,160000
26,Male,Bachelor's,Data Analyst,3,130000
29,Female,Master's,Data Scientist,6,180000
32,Male,Bachelor's,Software Engineer,8,190000
33,Female,Master's,Product Manager,11,198000
24,Male,Bachelor's,Data Analyst,1,90000
27,Male,Bachelor's,Software Engineer,4,140000
25,Female,Bachelor's,Data Analyst,2,110000
30,Female,PhD,Data Scientist,7,185000
31,Male,Bachelor's,Data Analyst,9,195000
28,Female,Bachelor's,Software Engineer,5,160000
25,Male,Bachelor's,Data Analyst,3,135000
32,Male,Bachelor's,Software Engineer,8,190000
29,Female,Master's,Data Scientist,6,180000
30,Male,Bachelor's,Data Analyst,5,160000
24,Male,Bachelor's,Data Analyst,1,95000
33,Female,Master's,Product Manager,11,196000
27,Male,Bachelor's,Software Engineer,4,140000
26,Male,Bachelor's,Data Analyst,3,130000
30,Female,PhD,Data Scientist,7,185000
31,Male,Bachelor's,Data Analyst,9,195000
28,Female,Bachelor's,Software Engineer,5,160000
26,Female,Bachelor's,Data Analyst,3,130000
30,Male,PhD,Data Scientist,7,185000
27,Female,Bachelor's,Product Manager,4,150000
24,Male,Bachelor's,Data Analyst,1,90000
33,Male,Master's,Product Manager,11,198000
25,Male,Bachelor's,Data Analyst,2,115000
28,Male,Bachelor's,Software Engineer,5,165000
26,Male,Bachelor's,Data Analyst,3,130000
29,Female,Master's,Data Scientist,6,180000
32,Male,Bachelor's,Software Engineer,8,190000
33,Female,Master's,Product Manager,11,198000
27,Male,Bachelor's,Software Engineer,4,140000
31,Female,Master's,Data Scientist,6,180000
30,Male,Bachelor's,Data Analyst,5,160000
24,Male,Bachelor's,Data Analyst,1,92000
28,Female,Bachelor's,Software Engineer,5,160000
26,Male,Bachelor's,Data Analyst,3,130000
32,Male,Bachelor's,Software Engineer,8,190000
33,Female,Master's,Product Manager,11,198000
25,Male,Bachelor's,Data Analyst,2,110000
30,Female,PhD,Data Scientist,7,185000
27,Male,Bachelor's,Software Engineer,4,140000
34,Female,Master's,Product Manager,12,196000
31,Male,Bachelor's,Data Analyst,9,195000
28,Female,Bachelor's,Software Engineer,5,160000
26,Male,Bachelor's,Data Analyst,3,130000
29,Female,Master's,Data Scientist,6,180000
32,Male,Bachelor's,Software Engineer,8,190000
33,Female,Master's,Product Manager,11,198000
24,Male,Bachelor's,Data Analyst,1,90000
27,Male,Bachelor's,Software Engineer,4,140000
25,Female,Bachelor's,Data Analyst,2,110000
30,Female,PhD,Data Scientist,7,185000
31,Male,Bachelor's,Data Analyst,9,195000
28,Female,Bachelor's,Software Engineer,5,160000
26,Male,Bachelor's,Data Analyst,3,130000
29,Female,Master's,Data Scientist,6,180000
32,Male,Bachelor's,Software Engineer,8,190000
33,Female,Master's,Product Manager,11,198000
24,Male,Bachelor's,Data Analyst,1,90000
27,Male,Bachelor's,Software Engineer,4,140000
25,Female,Bachelor's,Data Analyst,2,110000
30,Female,PhD,Data Scientist,7,185000
31,Male,Bachelor's,Data Analyst,9,195000
28,Female,Bachelor's,Software Engineer,5,160000
26,Male,Bachelor's,Data Analyst,3,130000
29,Female,Master's,Data Scientist,6,180000
32,Male,Bachelor's,Software Engineer,8,190000
33,Female,Master's,Product Manager,11,198000
24,Male,Bachelor's,Data Analyst,1,90000
27,Male,Bachelor's,Software Engineer,4,140000
25,Female,Bachelor's,Data Analyst,2,110000
30,Female,PhD,Data Scientist,7,185000
31,Male,Bachelor's,Data Analyst,9,195000
28,Female,Bachelor's,Software Engineer,5,160000
26,Male,Bachelor's,Data Analyst,3,130000
29,Female,Master's,Data Scientist,6,180000
32,Male,Bachelor's,Software Engineer,8,190000
33,Female,Master's,Product Manager,11,198000
24,Male,Bachelor's,Data Analyst,1,90000
27,Male,Bachelor's,Software Engineer,4,140000
25,Female,Bachelor's,Data Analyst,2,110000
30,Female,PhD,Data Scientist,7,185000
31,Male,Bachelor's,Data Analyst,9,195000
28,Female,Bachelor's,Software Engineer,5,160000
26,Male,Bachelor's,Data Analyst,3,130000
29,Female,Master's,Data Scientist,6,180000
32,Male,Bachelor's,Software Engineer,8,190000
33,Female,Master's,Product Manager,11,198000
24,Male,Bachelor's,Data Analyst,1,90000
27,Male,Bachelor's,Software Engineer,4,140000
25,Female,Bachelor's,Data Analyst,2,110000
30,Female,PhD,Data Scientist,7,185000
31,Male,Bachelor's,Data Analyst,9,195000
28,Female,Bachelor's,Software Engineer,5,160000
26,Male,Bachelor's,Data Analyst,3,130000
29,Female,Master's,Data Scientist,6,180000
32,Male,Bachelor's,Software Engineer,8,190000
33,Female,Master's,Product Manager,11,198000
24,Male,Bachelor's,Data Analyst,1,90000
27,Male,Bachelor's,Software Engineer,4,140000
25,Female,Bachelor's,Data Analyst,2,110000
30,Female,PhD,Data Scientist,7,185000
31,Male,Bachelor's,Data Analyst,9,195000
28,Female,Bachelor's,Software Engineer,5,160000
26,Male,Bachelor's,Data Analyst,3,130000
29,Female,Master's,Data Scientist,6,180000
32,Male,Bachelor's,Software Engineer,8,190000
33,Female,Master's,Product Manager,11,198000
24,Male,Bachelor's,Data Analyst,1,90000
27,Male,Bachelor's,Software Engineer,4,140000
25,Female,Bachelor's,Data Analyst,2,110000
30,Female,PhD,Data Scientist,7,185000
31,Male,Bachelor's,Data Analyst,9,195000
28,Female,Bachelor's,Software Engineer,5,160000
26,Male,Bachelor's,Data Analyst,3,130000
29,Female,Master's,Data Scientist,6,180000
32,Male,Bachelor's,Software Engineer,8,190000
33,Female,Master's,Product Manager,11,198000
24,Male,Bachelor's,Data Analyst,1,90000
27,Male,Bachelor's,Software Engineer,4,140000
25,Female,Bachelor's,Data Analyst,2,110000
30,Female,PhD,Data Scientist,7,185000
31,Male,Bachelor's,Data Analyst,9,195000
28,Female,Bachelor's,Software Engineer,5,160000
26,Male,Bachelor's,Data Analyst,3,130000
29,Female,Master's,Data Scientist,6,180000
32,Male,Bachelor's,Software Engineer,8,190000
33,Female,Master's,Product Manager,11,198000
24,Male,Bachelor's,Data Analyst,1,90000
27,Male,Bachelor's,Software Engineer,4,140000
25,Female,Bachelor's,Data Analyst,2,110000
30,Female,PhD,Data Scientist,7,185000
31,Male,Bachelor's,Data Analyst,9,195000
28,Female,Bachelor's,Software Engineer,5,160000
26,Male,Bachelor's,Data Analyst,3,130000
29,Female,Master's,Data Scientist,6,180000
32,Male,Bachelor's,Software Engineer,8,190000
33,Female,Master's,Product Manager,11,198000
24,Male,Bachelor's,Data Analyst,1,90000
27,Male,Bachelor's,Software Engineer,4,140000
25,Female,Bachelor's,Data Analyst,2,110000
30,Female,PhD,Data Scientist,7,185000
32,Male,Bachelor's Degree,Data Analyst,5,135000
27,Female,Master's Degree,Data Scientist,3,180000
40,Male,Bachelor's Degree,Software Engineer,12,195000
35,Female,Bachelor's Degree,Product Manager,8,165000
43,Male,Master's Degree,Data Scientist,15,198000
29,Female,Bachelor's Degree,Software Engineer,4,150000
36,Male,Bachelor's Degree,Data Analyst,9,162000
31,Male,Master's Degree,Data Scientist,6,175000
42,Female,Bachelor's Degree,Software Engineer,13,197000
33,Male,Bachelor's Degree,Data Analyst,7,142000
29,Female,Master's Degree,Data Scientist,4,182000
41,Male,Bachelor's Degree,Software Engineer,11,185000
35,Female,Bachelor's Degree,Product Manager,8,170000
27,Male,Bachelor's,Software Engineer,4,160000
32,Male,Bachelor's,Data Scientist,8,180000
29,Female,Master's,Data Analyst,6,150000
30,Male,Bachelor's,Data Analyst,5,140000
24,Male,Bachelor's,Data Analyst,2,100000
33,Female,Master's,Product Manager,11,190000
27,Male,Bachelor's,Software Engineer,4,160000
26,Male,Bachelor's,Data Analyst,3,120000
30,Female,PhD,Data Scientist,7,170000
31,Male,Bachelor's,Data Analyst,9,190000
28,Female,Bachelor's,Software Engineer,5,150000
26,Female,Bachelor's,Data Analyst,3,120000
30,Male,PhD,Data Scientist,7,170000
27,Female,Bachelor's,Product Manager,4,130000
24,Male,Bachelor's,Data Analyst,2,95000
33,Male,Master's,Product Manager,11,195000
25,Male,Bachelor's,Data Analyst,2,100000
28,Male,Bachelor's,Software Engineer,5,150000
26,Male,Bachelor's,Data Analyst,3,120000
29,Female,Master's,Data Scientist,6,150000
32,Male,Bachelor's,Data Scientist,8,180000
33,Female,Master's,Product Manager,11,195000
27,Male,Bachelor's,Software Engineer,4,160000
31,Female,Master's,Data Scientist,6,170000
30,Male,Bachelor's,Data Analyst,5,140000
24,Male,Bachelor's,Data Analyst,2,95000
28,Female,Bachelor's,Software Engineer,5,150000
26,Male,Bachelor's,Data Analyst,3,120000
32,Male,Bachelor's,Software Engineer,8,180000
33,Female,Master's,Product Manager,11,195000
25,Male,Bachelor's,Data Analyst,2,100000
30,Female,PhD,Data Scientist,7,170000
27,Male,Bachelor's,Software Engineer,4,160000
34,Female,Master's,Product Manager,12,190000
31,Male,Bachelor's,Data Analyst,9,190000
28,Female,Bachelor's,Software Engineer,5,150000
26,Male,Bachelor's,Data Analyst,3,120000
29,Female,Master's,Data Scientist,6,150000
32,Male,Bachelor's,Software Engineer,8,180000
33,Female,Master's,Product Manager,11,195000
24,Male,Bachelor's,Data Analyst,2,95000
27,Male,Bachelor's,Software Engineer,4,160000
25,Female,Bachelor's,Data Analyst,2,100000
30,Female,PhD,Data Scientist,7,170000
31,Male,Bachelor's,Data Analyst,9,190000
28,Female,Bachelor's,Software Engineer,5,150000
26,Male,Bachelor's,Data Analyst,3,120000
29,Female,Master's,Data Scientist,6,150000
32,Male,Bachelor's,Software Engineer,8,180000
33,Female,Master's,Product Manager,11,195000
24,Male,Bachelor's,Data Analyst,2,95000
27,Male,Bachelor's,Software Engineer,4,160000
25,Female,Bachelor's,Data Analyst,2,100000
30,Female,PhD,Data Scientist,7,170000
31,Male,Bachelor's,Data Analyst,9,190000
28,Female,Bachelor's,Software Engineer,5,150000
26,Male,Bachelor's,Data Analyst,3,120000
29,Female,Master's,Data Scientist,6,150000
32,Male,Bachelor's,Software Engineer,8,180000
33,Female,Master's,Product Manager,11,195000
24,Male,Bachelor's,Data Analyst,2,95000
27,Male,Bachelor's,Software Engineer,4,160000
25,Female,Bachelor's,Data Analyst,2,100000
30,Female,PhD,Data Scientist,7,170000
31,Male,Bachelor's,Data Analyst,9,190000
28,Female,Bachelor's,Software Engineer,5,150000
26,Male,Bachelor's,Data Analyst,3,120000
29,Female,Master's,Data Scientist,6,150000
32,Male,Bachelor's,Software Engineer,8,180000
33,Female,Master's,Product Manager,11,195000
24,Male,Bachelor's,Data Analyst,2,95000
27,Male,Bachelor's,Software Engineer,4,160000
25,Female,Bachelor's,Data Analyst,2,100000
30,Female,PhD,Data Scientist,7,170000
31,Male,Bachelor's,Data Analyst,9,190000
28,Female,Bachelor's,Software Engineer,5,150000
26,Male,Bachelor's,Data Analyst,3,120000
29,Female,Master's,Data Scientist,6,150000
32,Male,Bachelor's,Software Engineer,8,180000
33,Female,Master's,Product Manager,11,195000
24,Male,Bachelor's,Data Analyst,2,95000
27,Male,Bachelor's,Software Engineer,4,160000
25,Female,Bachelor's,Data Analyst,2,100000
30,Female,PhD,Data Scientist,7,170000
31,Male,Bachelor's,Data Analyst,9,190000
28,Female,Bachelor's,Software Engineer,5,150000
26,Male,Bachelor's,Data Analyst,3,120000
29,Female,Master's,Data Scientist,6,150000
32,Male,Bachelor's,Software Engineer,8,180000
33,Female,Master's,Product Manager,11,195000
24,Male,Bachelor's,Data Analyst,2,95000
27,Male,Bachelor's,Software Engineer,4,160000
25,Female,Bachelor's,Data Analyst,2,100000
30,Female,PhD,Data Scientist,7,170000
31,Male,Bachelor's,Data Analyst,9,190000
28,Female,Bachelor's,Software Engineer,5,150000
26,Male,Bachelor's,Data Analyst,3,120000
29,Female,Master's,Data Scientist,6,150000
32,Male,Bachelor's,Software Engineer,8,180000
33,Female,Master's,Product Manager,11,195000
24,Male,Bachelor's,Data Analyst,2,95000
27,Male,Bachelor's,Software Engineer,4,160000
25,Female,Bachelor's,Data Analyst,2,100000
30,Female,PhD,Data Scientist,7,170000
31,Male,Bachelor's,Data Analyst,9,190000
28,Female,Bachelor's,Software Engineer,5,150000
26,Male,Bachelor's,Data Analyst,3,120000
29,Female,Master's,Data Scientist,6,150000
32,Male,Bachelor's,Software Engineer,8,180000
33,Female,Master's,Product Manager,11,195000
24,Male,Bachelor's,Data Analyst,2,95000
27,Male,Bachelor's,Software Engineer,4,160000
25,Female,Bachelor's,Data Analyst,2,100000
30,Female,PhD,Data Scientist,7,170000
31,Male,Bachelor's,Data Analyst,9,190000
28,Female,Bachelor's,Software Engineer,5,150000
26,Male,Bachelor's,Data Analyst,3,120000
29,Female,Master's,Data Scientist,6,150000
32,Male,Bachelor's,Software Engineer,8,180000
33,Female,Master's,Product Manager,11,195000
24,Male,Bachelor's,Data Analyst,2,95000
27,Male,Bachelor's,Software Engineer,4,160000
25,Female,Bachelor's,Data Analyst,2,100000
30,Female,PhD,Data Scientist,7,170000
31,Male,Bachelor's,Data Analyst,9,190000
28,Female,Bachelor's,Software Engineer,5,150000
26,Male,Bachelor's,Data Analyst,3,120000
29,Female,Master's,Data Scientist,6,150000
32,Male,Bachelor's,Software Engineer,8,180000
33,Female,Master's,Product Manager,11,195000
24,Male,Bachelor's,Data Analyst,2,95000
27,Male,Bachelor's,Software Engineer,4,160000
25,Female,Bachelor's,Data Analyst,2,100000
30,Female,PhD,Data Scientist,7,170000
29,Male,Bachelor's,Software Engineer,7,180000
27,Female,Bachelor's,Data Analyst,5,120000
33,Male,Master's,Data Scientist,10,195000
28,Male,Bachelor's,Software Engineer,4,160000
26,Female,Bachelor's,Data Analyst,3,100000
31,Male,Bachelor's,Product Manager,8,190000
30,Male,Master's,Software Engineer,6,170000
32,Female,Bachelor's,Data Scientist,9,185000
29,Male,Bachelor's,Data Analyst,7,130000
35,Female,Bachelor's,Product Manager,12,190000
27,Male,Bachelor's,Software Engineer,5,150000
28,Female,Master's,Data Scientist,6,150000
37,Male,PhD,Product Manager,14,195000
26,Male,Bachelor's,Data Analyst,3,110000
30,Female,Bachelor's,Software Engineer,8,180000
31,Male,Master's,Data Scientist,9,185000
29,Female,Bachelor's,Data Analyst,7,130000
32,Male,Bachelor's,Software Engineer,10,190000
28,Female,Master's,Data Scientist,6,155000
34,Male,Bachelor's,Software Engineer,12,195000
25,Female,Bachelor's,Data Analyst,2,90000
30,Male,Bachelor's,Product Manager,8,185000
29,Female,Bachelor's,Data Analyst,6,120000
31,Male,Bachelor's,Software Engineer,9,180000
26,Female,Bachelor's,Data Analyst,3,100000
33,Male,Master's,Data Scientist,10,195000
28,Male,Bachelor's,Software Engineer,4,160000
27,Female,Bachelor's,Data Analyst,5,125000
30,Male,Master's,Software Engineer,6,170000
32,Female,Bachelor's,Data Scientist,9,185000
29,Male,Bachelor's,Data Analyst,7,130000
35,Female,Bachelor's,Product Manager,12,190000
27,Male,Bachelor's,Software Engineer,5,150000
28,Female,Master's,Data Scientist,6,150000
37,Male,PhD,Product Manager,14,195000
26,Male,Bachelor's,Data Analyst,3,110000
30,Female,Bachelor's,Software Engineer,8,180000
31,Male,Master's,Data Scientist,9,185000
29,Female,Bachelor's,Data Analyst,7,130000
32,Male,Bachelor's,Software Engineer,10,190000
28,Female,Master's,Data Scientist,6,155000
34,Male,Bachelor's,Software Engineer,12,195000
25,Female,Bachelor's,Data Analyst,2,90000
30,Male,Bachelor's,Product Manager,8,185000
29,Female,Bachelor's,Data Analyst,6,120000
31,Male,Bachelor's,Software Engineer,9,180000
26,Female,Bachelor's,Data Analyst,3,100000
33,Male,Master's,Data Scientist,10,195000
28,Male,Bachelor's,Software Engineer,4,160000
27,Female,Bachelor's,Data Analyst,5,125000
30,Male,Master's,Software Engineer,6,170000
32,Female,Bachelor's,Data Scientist,9,185000
29,Male,Bachelor's,Data Analyst,7,130000
35,Female,Bachelor's,Product Manager,12,190000
27,Male,Bachelor's,Software Engineer,5,150000
28,Female,Master's,Data Scientist,6,150000
37,Male,PhD,Product Manager,14,195000
26,Male,Bachelor's,Data Analyst,3,110000
30,Female,Bachelor's,Software Engineer,8,180000
31,Male,Master's,Data Scientist,9,185000
29,Female,Bachelor's,Data Analyst,7,130000
32,Male,Bachelor's,Software Engineer,10,190000
28,Female,Master's,Data Scientist,6,155000
34,Male,Bachelor's,Software Engineer,12,195000
25,Female,Bachelor's,Data Analyst,2,90000
30,Male,Bachelor's,Product Manager,8,185000
29,Female,Bachelor's,Data Analyst,6,120000
31,Male,Bachelor's,Software Engineer,9,180000
26,Female,Bachelor's,Data Analyst,3,100000
33,Male,Master's,Data Scientist,10,195000
28,Male,Bachelor's,Software Engineer,4,160000
27,Female,Bachelor's,Data Analyst,5,125000
30,Male,Master's,Software Engineer,6,170000
32,Female,Bachelor's,Data Scientist,9,185000
29,Male,Bachelor's,Data Analyst,7,130000
35,Female,Bachelor's,Product Manager,12,190000
27,Male,Bachelor's,Software Engineer,5,150000
28,Female,Master's,Data Scientist,6,150000
37,Male,PhD,Product Manager,14,195000
26,Male,Bachelor's,Data Analyst,3,110000
30,Female,Bachelor's,Software Engineer,8,180000
31,Male,Master's,Data Scientist,9,185000
29,Female,Bachelor's,Data Analyst,7,130000
32,Male,Bachelor's,Software Engineer,10,190000
28,Female,Master's,Data Scientist,6,155000
34,Male,Bachelor's,Software Engineer,12,195000
25,Female,Bachelor's,Data Analyst,2,90000
30,Male,Bachelor's,Product Manager,8,185000
29,Female,Bachelor's,Data Analyst,6,120000
31,Male,Bachelor's,Software Engineer,9,180000
26,Female,Bachelor's,Data Analyst,3,100000
33,Male,Master's,Data Scientist,10,195000
28,Male,Bachelor's,Software Engineer,4,160000
