Name,Location,Rank,Description,Tuition Fees,In-state,Undergrad Enrollment
Worcester Polytechnic Institute,"Worcester, MA",60,"Among the 10 colleges located in Worcester, Mass., Worcester Polytechnic Institute stands out as a close-knit private school grounded in scientific education. The student body is actively engaged in campus activities, such as the rivalry contests like the gigantic tug-of-war held throughout the year that pit the freshmen class against the sophomores.  than 30 percent of students are members of the school's 15 or so fraternities and sororities. Even more - close to 70 percent - are involved in campus sports at some level. The WPI Engineers compete in the NCAA Division III New England Men's and Women's Athletic Conference, supported by mascot Gompei, a goat. Though the original school mascot was the head of a once-live goat, the school now uses a man-made replica for a mascot. WPI students also come out in droves for the school's club sports and intramural program, and all students must take four physical education courses, ranging from lifeguarding to plyometrics. Freshmen do not have to live in campus residence facilities, which include standard dormitories and four houses with student-selected themes. A university seal is imprinted on the ground in the center of campus, but make sure not to step on it; school lore warns that any student who does won't graduate on time. Off campus, students can use Woo Cards to get discounts on food and activities around Worcester. Boston is 45 miles away, or about an hour's trip by train. ","$46,994 ",,"4,299"
Clemson University,"Clemson, SC",66,"As a student at Clemson, get ready to love the color orange. The orange Clemson Tigers compete in the NCAA Division I Atlantic Coast Conference. The teams are supported by notoriously passionate student fans and two costumed student mascots, known as The Tiger and The Tiger Cub. There are more than 400 student clubs and organizations, and about 25 percent of students are involved in the school's large Greek system. Clemson is set on Hartwell Lake, where students can sail, swim and fish. For indoor fun, the on-campus Underground Recreation Center has a bowling alley, arcade and billiards room. Students can travel for free on campus bus system The CAT, which connects students between Clemson University and the nearby city of Clemson, S.C. The city of Clemson is within walking distance of campus, too, and offers a typical active college scene with many shopping, dining and nightlife options. Freshmen must live in university housing, and nearly half of all students choose to live on the school's picturesque, tree-lined campus. ","$32,796 ","$14,240 ","18,016"
Yeshiva University,"New York, NY",66,"Yeshiva University is Jewish institution in New York City. The university is divided into three undergraduate colleges: Yeshiva College, the Stern College for Women and the Sy Syms School of Business, each at campuses throughout Manhattan. A university shuttle system transports students between campuses. The university also has a campus in Israel, where more than 600 students a year study through the S. Daniel Abraham Israel Program. Freshmen are not required to live on campus, though many choose to do so. There are dozens of student organizations on campus, from a computer science club to the Student Holocaust Education Movement. The Yeshiva Maccabees sports teams compete at the NCAA Division III level. The school has a Center for the Jewish Future, which sponsors projects like the YU Torah Online. Students design regular Shabbat programs, and produce publications at each campus, including newspapers The Commentator and The Observer. ","$40,670 ",,"2,744"
Brigham Young University--Provo,"Provo, UT",68,"Student life centers on religion and responsibility at Brigham Young University--Provo, a school founded and supported by The Church of Jesus Christ of Latter-day Saints (also known as the Mormon church). There are more than 70 clubs on campus, which meet Tuesday evenings. Each Wednesday, a student volunteer coalition completes community service projects around campus. There is no Greek system at BYU. The BYU Cougars mainly compete in the NCAA Division I West Coast Conference. The football team is known for the number of players drafted by the NFL: more than 70 in the past 30 years. All BYU students can participate in the intramural sports, and about 25,000 choose to do so. Freshmen do not have to live on the Provo, Utah, campus, though the school encourages it. All students live according to a strict honor code, which prohibits - among other things - camping with members of the opposite sex and growing a beard without a doctor's approval. Extramarital and gay sex are also prohibited. Situated at the base of the Wasatch Mountains, the campus is close to plentiful climbing, hiking and biking opportunities. Provo is also home to the Missionary Training Center, where students of the Latter-day Saints faith can enroll to learn and grow before serving at least 18 months around the world. ","$5,300 ",,"30,221"
University of Pittsburgh,"Pittsburgh, PA",68,"Located in the Oakland neighborhood, Pitt's campus is a 3-mile trip from bustling downtown Pittsburgh. The city is home to powerhouse professional sports teams, such as the Steelers and Penguins, and dozens of unique cultural centers, like the Andy Warhol Museum and Phipps Conservatory & Botanical Gardens. Pitt students get free admission to these and other select museums throughout the school year. Because Pittsburgh is bordered by three rivers, kayaking, sailing and fishing opportunities are plentiful. City buses stop every 10 to 15 minutes on campus, and students can ride public transportation into the city for free with school ID. Freshmen do not have to live on campus. Pitt has a sizeable Greek community of about 35 fraternities and sororities. Students in Arts and Sciences majors can earn hands-on credits in internships, research and teaching with the help of the university's Office of Undergraduate Research, Scholarship and Creative Activity. The Pittsburgh Panthers sports teams compete in the NCAA Division I Atlantic Coast Conference. Pitt students are notorious for their avid support at sporting events, particularly for forming a riotous cheering section known as the Oakland Zoo at basketball games. Students who attend the most home sporting events get priority purchasing when game tickets are in high demand through the school's Loyalty Points system. ","$29,758 ","$18,618 ","18,908"
Rutgers University--New Brunswick,"Piscataway, NJ",70,"For high school students who can't decide what their ideal college campus would look like, Rutgers University may be the solution. The flagship campus of New Jersey's state university, based in New Brunswick, is actually split into five mini-campuses known as Douglass, Cook, College Avenue, Busch and Livingston. Each campus has a unique setting and identity, from the hip student feel of the College Avenue campus to the farmland and science buildings at Cook Campus. Each mini-campus has its own student center and dining options. Freshmen do not have to live on campus, but those who choose to do so have options on each campus, too. There are more than 400 student clubs and organizations across the mini-campuses, including more than 80 fraternities and sororities. The Rutgers Scarlet Knights compete in the NCAA Division I Big Ten Conference. The university also has a virtual campus on Second Life. ","$30,023 ","$14,372 ","35,484"
Baylor University,"Waco, TX",71,"The student community at Baylor University is bound together largely by religion and service. The Waco, Texas, school is a private, Baptist institution, and its student body is particularly active in volunteerism. Each semester, students donate a collective 12,000 hours of time to service projects through a one-day program called Steppin' Out. Students can volunteer year round through the school's Urban Missions, which coordinates service projects in the local community, and Global Missions, which sends students abroad. The student body is also active in faith-based activities. Each year, students lead Be The Change, a week of speakers, breakout sessions and events that give religion a global focus. Freshmen are required to live on campus and must also take two semesters of Chapel, attending worship services every Monday and Wednesday. Students and faculty gather daily for a campus prayer at noon, and weekly for free ice cream floats during ""Dr Pepper Hour."" Students can also get involved in more than 270 student organizations on campus. There are more than 40 fraternities and sororities, and the organizations compete in their own intramural sports leagues. Baylor is one of the only private schools in the NCAA Division I Big 12 Conference, but the sports teams, known as the Baylor Bears, stay competitive - especially in football. The school mascot, not surprisingly, is a bear. Baylor University also has its own holiday, Diadeloso, a day when classes are canceled so students can participate in athletics tournaments and attend free concerts. Waco, which is 100 miles from Dallas and Austin, is a small city with outdoor recreation opportunities like hiking and mountain biking. ","$42,006 ",,"14,189"
Stevens Institute of Technology,"Hoboken, NJ",71,"Innovation and entrepreneurship is stressed at Stevens Institute of Technology, a research-intensive school primarily known for its engineering, science and management programs. The school also has a humanities division with eight majors. Undergraduate students are encouraged to get involved in research projects and develop new technologies through the school's Technogenesis philosophy. Students can opt for a cooperative education track, which is a five-year program with mostly alternating semesters of class and full-time, paid work. Students complete a full first and fifth year at Stevens, and pay for only four years of school. On campus, in Hoboken, N.J., there are more than 120 clubs and organizations, including about 15 fraternities and sororities. Housing is guaranteed for four years, and more than 60 percent of students choose to live on campus. The campus lies along the Hudson River, and New York City is a boat or subway ride away. The Stevens Ducks mainly compete in the NCAA Division III Empire 8 Athletic Conference, and, through the school's Adopt-a-Team program, all student athletes have a faculty mentor to help them juggle sports and school work. Incoming freshmen also do not have the hassle of buying a new laptop; each student is given a notebook computer with software configured to his or her major. The school was exclusively for male students until 1971, and now, females make up close to 30 percent of the student body. ","$48,838 ",,"2,873"
University of Minnesota--Twin Cities,"Minneapolis, MN",71,"The University of Minnesota stretches across a major city - or two, to be exact. Minneapolis and St. Paul, known as the Twin Cities, are frequently recognized for sports, cleanliness and volunteerism. The school has a campus in each city, though the Minneapolis site is considered the main campus of the University of Minnesota. Freshmen do not have to live on campus, but the more than 80 percent who choose to can opt to live in traditional residence halls or one of more than two dozen Living Learning communities, such as the Healthy Foods, Healthy Lives House and La Casa De Espa��ol. Also on campus are more than 600 student organizations, including more than 30 fraternities and sororities. The Minnesota Golden Gophers compete in the NCAA Division I Big Ten Conference, and all athletic events are held in the Minneapolis campus's Stadium Village neighborhood. Goldy Gopher, the school mascot, energizes thousands of student fans as they chant ""Ski-U-Mah,"" a rally cry that means ""Victory UM."" Under the Four-Year Graduation Plan, the university ensures that all necessary classes will be available for students to complete their degrees on time. If courses are not available in an undergraduate's four years of schooling, the university will pay for the extra credits. ","$22,210 ","$13,790 ","34,071"
American University,"Washington, DC",74,"Students at American University benefit from the school's location in the political hub of the nation. Washington, D.C., is a playground for the politically and socially oriented with its countless museums, restaurants, clubs and year-round events. The university, located in a suburban pocket of northwest Washington, is close to a stop on the D.C.-area Metrorail transit system. Rides downtown take about 15 minutes. Students at American have been rated among the most politically active in the nation, and there are more than 200 student clubs and organizations on campus. The school also has a sizeable Greek system, with about 30 fraternities and sororities. The American University Eagles sports teams compete in the NCAA Division I Patriot League, and the school's mascot is, accordingly, an eagle. Catching a professional sports contest, such as a Redskins football game or a Nationals baseball game, is a quick trip from campus, too. The university is affiliated with the Methodist church, but its Kay Spiritual Life Center houses about 25 groups of different faiths. The confluence of opportunities on and off campus clearly works for most students: American University boasts a notably high freshmen retention rate of around 90 percent. ","$44,853 ",,"7,909"
Clark University,"Worcester, MA",74,"Clark University in Worcester, Mass., is a small liberal arts institution in the midst of 11 other colleges and universities. Together, the schools make up the Higher Education Consortium of Central Massachusetts. All Clark students can get a WOO card: a pass that grants discounts at area attractions, baseball games and the local ski slope, Wachusett Mountain. Clark students can also ride the free intercampus shuttle to Becker College, Worcester Polytechnic Institute, Assumption College, Worcester State University and College of the Holy Cross. Students can also hop aboard to get to Worcester Public Library, Worcester Art Museum and the local train and bus station. On campus, Clark students can choose from more than 100 clubs and organizations, but the school does not have a Greek system. The Clark Cougars sports teams compete in the NCAA Division III New England Women's and Men's Athletic Conference. Freshmen and sophomores must live on campus, and all students are allowed to bring cars. For road trips, Boston is less than an hour's drive away; New York City is a three-hour trip. Students can explore more than 50 study abroad options after declaring a major, and about one-third of Clark students participate. ","$43,150 ",,"2,397"
Texas A&M University--College Station,"College Station, TX",74,"Ready to be an Aggie? All students assume the nickname at Texas A&M, an academic and athletic powerhouse in central Texas. Once an all-men's school called the Agricultural and Mechanical College - now shortened to A&M - the university today is coed and has offers a wide variety of majors and activities. Students can choose from more than 800 clubs and organizations, including nearly 60 fraternities and sororities. About 10 percent of students go Greek.  students, about 25 percent, play in Texas A&M intramural sports leagues, one of the largest programs in the country. The school's varsity sports compete in the NCAA Division I Southeastern Conference, cheered on by mascot Reveille VIII, a collie. Miss Rev, as the collie is known, is also the highest-ranking member in the school's Cadet Corps, the largest ROTC program in the nation (not including programs at service academies). First-year students interested in community service can get involved right away through the Freshmen in Service and Hosting program (FISH). All students can give back during The Big Event, the largest single-day, student-run volunteer effort in the country in which more than 15,000 Aggies work to improve the nearby cities of College Station and Bryan. For many students, these communities are also home; freshmen are not required to live on campus and many choose to live in College Station or Bryan. ","$28,768 ","$10,176 ","48,960"
University of Massachusetts--Amherst,"Amherst, MA",74,"The University of Massachusetts--Amherst is the central location for the state school system. The university is large, but through the Five College Interchange, students can take courses at smaller liberal arts colleges nearby: Smith College, Mount Holyoke College, Amherst College and Hampshire College. Students have close to 90 majors to choose from, including an option to design a major, known as BDIC: the Bachelor's Degree with Individual Concentration. Adult students can complete a degree by taking classes online or on campus - or both - via the UMass Amherst University Without Walls (UWW). All freshmen must live on campus, and family housing, including one- and two-bedroom apartments, is also available to students who are married or who have legal custody of a dependent child. There are more than 200 student organizations to check out, as well as outdoor activities in and around the college's town, Amherst. For road trips from campus, Boston is 90 miles away, while New York City is a 175-mile drive. Notable alumni of the University of Massachusetts--Amherst include Jack Welch, former CEO of General Electric; Jeff Talyor, founder of Monster.com; and Jeff Corwin, an Animal Planet personality. ","$30,123 ","$13,790 ","22,748"
Virginia Tech,"Blacksburg, VA",74,"At Virginia Tech, a former military institute with its background in the sciences, students are encouraged to ""invent the future."" Students are known as Hokies, a term that was the original rally cry when the school was known as the Virginia Agricultural and Mechanical College and Polytechnic Institute. Sports teams, also known as the Hokies, compete in the NCAA Division I Atlantic Coast Conference, and the school mascot is the HokieBird. Virginia Tech is settled in Blacksburg, a typical college town full of restaurants, bars and clubs. Students account for more than half the total residents in Blacksburg, and they dominate the town's public Blacksburg Transit bus system, which is free for Hokies. On campus, students can go bowling, play pool or try out video games in the BreakZONE. There are also more than 600 clubs and organizations, including a large Greek system of more than 50 fraternities and sororities. Freshmen must live on campus, which puts them in close proximity to the school's renowned dining facilities. Students can order steak and lobster at Virginia Tech's West End Market, or grab a meal from on-campus chain restaurants, including Au Bon Pain and Pizza Hut. ","$29,371 ","$12,852 ","25,384"
Miami University--Oxford,"Oxford, OH",79,"Miami University students make up nearly half the population of the approximately 7-square-mile town of Oxford, Ohio. Freshmen must live on campus, which is also home to more than 500 student organizations. The Greek system constitutes a large part of campus life, with about a third of the student body involved in more than 50 fraternities and sororities. In fact, the school often gets the moniker ""Mother of Fraternities"" because the Beta Theta Pi, Phi Delta Theta, Phi Kappa Tau and Sigma Chi organizations were founded at Miami University. The school is also known as the ""Cradle of Coaches"" for the number of professional and collegiate coaches who once competed for Miami. The RedHawks, who compete in the Division I Mid-American Conference, were known as the Redskins until 1997. The name was changed after years of controversy and a request from the Miami Indian Tribe. (The tribe is the namesake of the university.) To help ease the transition into freshman year, older students often create a guide to life at Miami University, called the ""M Book."" Student couples who marry are known as ""Miami Mergers"" and are reminded of their alma mater each Valentine's Day, when the admissions office sends cards to congratulate former students on finding love at school. ","$31,592 ","$14,288 ","16,387"
University of California--Santa Cruz,"Santa Cruz, CA",79,"At the University of California--Santa Cruz, one of 10 schools in the state's university system, residence life can define a student's experience. Nearly 100 percent of freshmen live on campus and choose one of 10 residential colleges to join. These small groups have their own campus locations, as well as unique architecture and programming. Kresge College, for example, is home to an organic garden where students can take classes; students who are members of the College Nine community are often active in volunteer efforts and the college's Alternative Spring Break trips. Students who own RVs can also choose to reside in Camper Park, a unique community of students who live in their own home-like vehicles and share a common bathroom and lounge. Student campers may live with pre-approved roommates who are full-time UCSC students or spouses. Students living in residence halls may only have overnight guests 15 times a school year, for a maximum of three nights each visit. On campus, there are more than 25 miles of hiking and jogging trails, and more than 100 student clubs and organizations. Only about 3 percent of students are members of the school's small Greek system. The UC Santa Cruz sports teams are independent competitors in the NCAA's Division III. Athletes are cheered on by the Banana Slug, a nontraditional, yellow earthen creature that has been recognized among the best mascots in the country. For fun, students can tour Dead Central, a room full of Grateful Dead memorabilia donated by the band to UCSC, or explore the small beach town of Santa Cruz, located on Monterey Bay. There are rides and games on the Santa Cruz Beach Boardwalk, and opportunities for swimming, sailing and kayaking on the bay. To get around, students can travel on the Santa Cruz Metropolitan Transit District buses for free with school ID. For longer road trips, Monterey is 45 miles away, and San Francisco is a 75-mile trip. ","$40,241 ","$13,559 ","16,231"
University of Delaware,"Newark, DE",79,"For students interested in attending the University of Delaware, it pays to live in the state. The University of Delaware admits all Delaware residents whose academic records predict success, and about 65 percent who apply will be accepted. About half (45-55 percent) of all out-of-state applicants are admitted. For all who receive admission, there are about 280 student clubs and organizations on the school's lush campus in downtown Newark. Nearly 20 percent of students are involved in the school's large Greek system, which has about 25 fraternities and nearly 20 sororities. The Fightin' Blue Hens sports teams, named after a Delaware Revolutionary War battalion with the same nickname, compete in the NCAA Division I Colonial Athletic Association. The mascot is a costumed bird named YoUDee, and a group of live Blue Hen chickens reside on the school farm. Freshmen must live on campus, unless they commute from a parent's local home. When students want to leave campus, Wilmington is about 12 miles away. Philadelphia is a 45-mile drive and Baltimore is 55 miles away. The University of Delaware ran the nation's first study abroad program in 1923, and, these days, nearly 35 percent of undergraduates opt to spend time in another country. ","$31,420 ","$12,520 ","18,322"
Colorado School of Mines,"Golden, CO",82,"For students who want to work in the sciences, opportunities abound at the Colorado School of Mines. A public engineering and applied sciences school in Golden, Colorado, Mines has 14 academic departments, including Mechanical Engineering and Geophysics. The school also offers courses in the Liberal Arts & International Studies and Economics & Business departments. When students aren't studying, the school's location is ideal for outdoor recreation. Golden is 13 miles from the state capital of Denver and lies in the foothills of the Rocky Mountains, where students can bike, hike and climb. The campus also has a climbing wall for students to test their skills before attempting the Rockies. Cold-weather sports fans can partake in the annual Winter Carnival, a student-run affair packed with skiing and snowboarding at a local resort. The Mines sports teams, known as the Orediggers, compete in the NCAA Division II Rocky Mountain Athletic Conference, which is mostly made up of other teams from Colorado. The school mascot is Blaster the burro, and a giant ""M"" emblazoned onto nearby Mount Zion signifies the school spirit. There are more than 140 student clubs and organizations, including seven fraternities and three sororities. First-year students are required to live on campus. Even the student newspaper, The Oredigger, is decidedly science based; sections include weekly roundups of new discoveries and a Geek of the Week feature. ","$34,828 ","$17,383 ","4,608"
Michigan State University,"East Lansing, MI",82,"Michigan State University is a powerhouse institution located in the college town of East Lansing. Downtown, students can choose from dining and nightlife options, and the city is also home to the Great Lakes Folk Festival. Lake Michigan and its beaches are a short trip away, as is the state capital of Lansing. The Michigan State Spartans compete in the NCAA Division I Big Ten Conference, supported by award-winning mascot Sparty. There are more than 600 student clubs and organizations, including more than 55 fraternities and sororities. Members of the Greek community are active in the local community through events like Safe Halloween, an annual carnival for children in East Lansing. All students can get involved in service-learning and volunteer projects throughout East Lansing like Fill the Bus, an annual campaign to stuff a Spartan-green school bus full of food and school supplies for underprivileged children. The university is home to one of the largest single-campus residence hall systems in the country, and freshmen must live on campus unless they reside with a family member no more than 50 miles from school. To study farther afield, students can take advantage of more than 260 study abroad programs. ","$39,090 ","$14,070 ","39,143"
Texas Christian University,"Fort Worth, TX",82,"Texas Christian University is the biggest religious university associated with the Christian Church (Disciples of Christ) and is open to students of any faith. There are more than 20 religious organizations for students to join, among more than 200 others. Greek life is a popular option, with close to 40 percent of the student body involved in more than 30 fraternities and sororities. Freshmen and sophomores must live on campus, unless they are older than 21 or commute from a parent's home. The Horned Frog sports teams are members of the NCAA Division I Big XII Conference and are especially competitive in football. The unusual mascot is a small lizard and is also the official state reptile of Texas. Volunteer activities are a particularly big draw for students, and the school's Center for Community Involvement & Service-Learning coordinates excursions like service trips over spring break. The campus is about five miles from downtown Fort Worth, a historic area that still has an Old West feel. Students can check out live bull riding shows at Billy Bob's, a restaurant that is billed as the world's largest honky-tonk, or catch a rodeo at the Cowtown Coliseum. Dallas is about 35 miles away. ","$42,670 ",,"8,894"
University of Iowa,"Iowa City, IA",82,"The University of Iowa offers top-notch academic programming in more than 100 areas. Students looking to hone their leadership skills have many options, too: They can enroll in the LeaderShape Institute, a six-day getaway workshop; attend the Leadership Development Series, which meets three times a semester; or participate in one of the many programs offered through the Center for Student Involvement & Leadership. Freshmen do not have to live on campus, but more than 90 percent choose to do so. Campus life may pose a challenge to tobacco users, as Iowa is a smoke-free campus. Students have more than 500 clubs and organizations from which to choose, and close to 10 percent of students go Greek as members of the school's nearly 50 fraternities and sororities. Sports are another big focus of campus life; even in the competitive NCAA Division I Big Ten Conference, the Iowa Hawkeyes are notorious players. Four blocks from campus is Iowa City, a Midwestern metropolis that has been recognized among the nation's best for its scenery, greenery and sustainable energy efforts. ","$28,413 ","$8,325 ","23,357"
Binghamton University--SUNY,"Binghamton, NY",86,"Outdoor recreation abounds in the southeastern New York location of Binghamton University. Despite its name, the university is actually located in Vestal, N.Y., a suburb of Binghamton. The campus includes a nature preserve, complete with a forest and pond where students can hike, bike and run around. Through the Adventure Resource Center and the Outdoor Pursuits program, students can participate in organized kayaking, climbing and camping trips or can plan an excursion of their own. Winter sports fans can go skiing and snowboarding at Greek Peak, a 30-mile trip from campus. On campus, annual student events include University Fest and Spring Fling, two outdoor celebrations with live music, carnival rides and food. There are more than 250 student organizations, including about 50 recognized fraternities and sororities. Freshmen must live on campus, and, because of space restrictions, no graduate students are permitted to do so. One perk of living in the school's residence facilities: free laundry. The Binghamton Bearcats compete in the NCAA Division I America East Conference, and student fans form the BU Zoo cheering section during basketball games. The school mascot is a bearcat named Baxter. On average, more than nine in 10 students remain at SUNY Binghamton after freshman year, one of the highest first-year retention rates in the country. ","$22,164 ","$9,044 ","13,491"
Indiana University--Bloomington,"Bloomington, IN",86,"No one quite knows what a ""Hoosier"" is, but a murky definition does not stop students at Indiana University-- Bloomington from fiercely identifying with the term. The school's sports teams are notorious competitors in the NCAA Division I Big Ten Conference, and, since Indiana University does not have a mascot, all teams are known simply as Hoosiers. There are more than 750 student organizations on campus, and more than 6,500 students go Greek in the school's large community of fraternities and sororities. Freshmen must live on campus for at least two semesters, though there are some exceptions. The Midwestern college town of Bloomington, or B-town, as it is known to many, is home to a lively cultural scene. Arts and entertainment performances, such as the annual Lotus World Music & Arts Festival, take place year-round. Students can explore the surrounding area through the Indiana University Outdoor Adventures program, which coordinates hiking, whitewater rafting and rock climbing trips. Active students can compete in the annual Little 500, the largest collegiate bike race in the nation and a fundraiser for university scholarships, or spend 36 hours on their feet in the IU Dance Marathon, a fundraiser for Riley Hospital for Children in Indianapolis. ","$34,246 ","$10,388 ","38,364"
Marquette University,"Milwaukee, WI",86,"Marquette University, a private Catholic, Jesuit school, is in walking distance of downtown Milwaukee, a city known for its restaurants, zoo and athletics. The Marquette Golden Eagles are members of the NCAA Division I Big East Conference and are especially competitive in basketball. The men's basketball team plays in the BMO Harris Bradley Center, which is also home to the NBA's Milwaukee Bucks. There is no varsity football team, but enthusiasts of the sport can play at the intramural level. Other sports options include coed club waterskiing and wakeboarding and intramural innertube water polo. Students have about 250 clubs and organizations to get involved in, and about 10 percent of the student body takes part in the Greek system, which includes more than 20 fraternities and sororities. To kick off each spring semester, the university holds the Winter Flurry, a week of games and activities that culminates in a semiformal dance known as Snowball. Freshmen and sophomores must live on campus, unless they reside locally with a family member or guardian. Lake Michigan is a mile from campus, and students can travel on Milwaukee County Transit System buses for free with a pass. ","$38,470 ",,"8,334"
University of Denver,"Denver, CO",86,"Whether a student is looking for outdoor recreation, a bustling urban lifestyle or a hometown team to support in every major professional sports league, he or she will likely find it at the University of Denver. Known as DU, the school is settled at the base of the Rocky Mountains in the state's capital city. Students who want to explore Denver's surrounding areas can join in on group trips through the school's Alpine Club, which organizes more than 20 outdoor excursions a year. There are more than 100 other student clubs and organizations to check out, too, including about 15 fraternities and sororities. Freshmen and sophomores must live on campus, with some exceptions. Student athletes compete on the Denver Pioneers sports teams, members of the NCAA Division I Summit League. The school's ski team has won more national championships than any other program in the country. On the professional level, Denver has a team in each of the four major sports leagues: the Denver Broncos in the NFL, the Colorado Avalanche in the NHL, the Denver Nuggets in the NBA and the Colorado Rockies in the MLB. For creative entertainment, students can check out musical, theatrical and innovative performances in the on-campus Newman Center. The university campus also hosts the Pen and Podium series, which brings in several famous authors and poets to speak each year. To explore downtown Denver, students can hop on the city's LightRail system, a network of monorail trains that stops on campus and goes to more than 40 other locations. The city is known for its revitalized urban areas, including Lower Downtown, or LoDo, a hub of shopping, dining and nightlife that is 8 miles from campus. ","$46,362 ",,"5,758"
University of San Diego,"San Diego, CA",86,"The University of San Diego is a Roman Catholic institution open to students of all faiths. The school overlooks Mission Bay, and downtown San Diego is about a 15-minute trip away. On campus, there are more than 100 student organizations, including more than 10 fraternities and sororities. Most of the San Diego Torero sports teams are members of the NCAA Division I West Coast Conference; the football team competes in the NCAA Division I-AA Pioneer League. Athletic teams are cheered on by the school's mascot, a costumed bullfighter named Diego Torero. The University Ministry coordinates retreats and immersion trips and hosts daily Mass services, including a special Mass for Peace on Wednesday nights. After class, students can relax at nearby beaches, like La Jolla and Pacific Beach, or explore Balboa Park, the biggest urban cultural park in the country, which is home to 15 museums, the San Diego Zoo and the Old Globe Theatre. Opportunities to kayak, sail, wind surf and more are nearby. Students can join group excursions, led by the school's Outdoor Adventures program, or rent kayaks, surfboards and snorkel equipment on campus for trips on their own. Freshmen must live on campus, and for students around on the weekends, the school hosts a Friday Night Movies series. ","$46,140 ",,"5,647"
University of Tulsa,"Tulsa, OK",86,"Students at the University of Tulsa leave with two transcripts: an academic one and a co-curricular one. The CCT, as the latter is known, is a log of all membership in clubs, any leadership positions and any marketable skills a student has gained while in college. To beef up a CCT, students can get involved in more than 200 student clubs and organizations. The school's Greek system has more than 10 fraternities and sororities. Freshmen and sophomores must live on campus, unless they commute from a parent's home within 20 miles of campus. Students who are at least 21 years old or married may live off campus, too. The Golden Hurricane sports teams are members of the Division I American Athletic Conference, and the school's mascot is a superhero named Captain Cane. Students can join in Hurricane Thursdays, campus celebrations that alternate between carnivals, concerts and . The TU campus is two miles away from downtown Tulsa, Oklahoma, a city of about half a million people that is home to performing arts centers, museums, shops and nightclubs. The state capital of Oklahoma City is about 100 miles away. ","$38,796 ",,"3,478"
Florida State University,"Tallahassee, FL",92,"Florida State University is a sprawling public school in Tallahassee, the state's capital. Freshmen are not required to live on campus, and typically, there is not room for every student, so it's important to apply early if you'd like to live in university housing. There are more than 600 student organizations to check out, as well as adventure trips for kayaking, backpacking, whitewater rafting and more coordinated through the school's Outdoor Pursuits program. The Florida State Seminoles sports teams compete in the NCAA Division I Atlantic Coast Conference and are traditionally dominant contenders in baseball and football. For students interested in studying abroad, Florida State has centers in Florence, Italy; London; Panama City, Panama; and Valencia, Spain, and offers students other study abroad programs as well. Florida State has a wide variety of graduate schools, including a College of Business, a College of Law and a College of Medicine. The university also has a joint College of Engineering with Florida A&M University. Among the notable graduates of Florida State University are fitness expert Richard Simmons and Spanx apparel line founder Sara Blakely. ","$24,673 ","$9,507 ","32,706"
North Carolina State University--Raleigh,"Raleigh, NC",92,"North Carolina State University, also known as NC State, is the largest four-year college in the state. As such, students have a surplus of choices, from more than 100 programs to major in to more than 400 clubs and organizations to join. The university has a large Greek community that fields more than 20 percent of the student body. For other extracurricular activities, students can check out annual events in Raleigh, such as the North Carolina State Fair and Winterfest. Freshmen are not required to live on campus, though about 80 percent choose to. On the sports fields, NC State is known as The Wolfpack and competes in the NCAA Division I Atlantic Coast Conference. NC State has a variety of academic departments that serve graduate students, too, including a highly ranked engineering school that's particularly well known for its nuclear and biological/agricultural engineering programs; an education program; and the Jenkins Graduate School of Management. Notable NC State graduates include former White House Press Secretary Robert Gibbs and Olympic swimmer and gold medalist Cullen Jones. ","$26,399 ","$8,880 ","24,111"
University of Colorado--Boulder,"Boulder, CO",92,"The University of Colorado Boulder, called CU�_--Boulder for short, lays against the majestic backdrop of the Rocky Mountains. Boulder is a lively college town with more than 80 miles of biking and walking trails. In the evenings, students can travel anywhere within the city limits for free in CU NightRide shuttles, which run until 1:15 a.m. on Fridays and Saturdays and 12:15 a.m. all other nights. On campus, there are more than 300 student clubs and organizations and close to 40 fraternities and sororities. Freshmen must live on campus. The Colorado Buffaloes compete in the NCAA Division I Pac-12 Conference. The student athletes, called Buffs for short, are supported by two buffalo mascots: a costumed student called Chip and a live animal named Ralphie V. The university stresses its commitment to volunteer efforts like Better Boulder Better World, a day of community service in the surrounding neighborhoods. For trips off campus, there are 11 ski slopes within 3 hours of campus, and Rocky Mountain National Park is 45 miles away. A bit closer is Denver, the state capital, where students can catch professional sports matches or concerts in the unique outdoor concert hall, Red Rocks Amphitheatre. ","$35,079 ","$11,531 ","27,010"
University of Vermont,"Burlington, VT",92,"Nestled between the Adirondack and Green Mountains is the University of Vermont, a quasi-public school founded in 1791. It is known colloquially as UVM, which is Latin for Universitas Viridis Montis, or University of the Green Mountains. Students who want to take advantage of the surrounding nature in Burlington, Vermont, can rent skis, snowshoes, canoes and camping equipment on campus. Students don't have to go far for an adventure, though; UVM has an adventure ropes course and an indoor rock climbing wall. There are more than 170 student organizations on campus, including about 15 fraternities and sororities. Fewer than 10 percent of students go Greek. Freshmen and sophomores must live on campus. The Catamounts athletic teams compete in the NCAA Division I America East Conference, cheered on by a mountain cat mascot named Rally. In Burlington, students can explore the outdoor Church Street Marketplace, a collection of restaurants and boutiques, or relax on the shores of Lake Champlain. For a more urban experience, Montreal and Boston are about 100 and 220 miles away, respectively. ","$40,364 ","$17,300 ","10,973"
